run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T10-43-45-282Z,A,1,2026-07-13T10:43:49.987Z,6378077,3,3,3,3,3,12,variant-batch blocks=1 max_same_block=3 distribution=6378077:3
datm-live-2026-07-13T10-43-45-282Z,A,2,2026-07-13T10:43:59.486Z,6378079,6,6,6,3,6,24,variant-batch blocks=1 max_same_block=3 distribution=6378079:3
datm-live-2026-07-13T10-43-45-282Z,A,3,2026-07-13T10:44:12.972Z,6378081,9,9,9,3,9,36,variant-batch blocks=1 max_same_block=3 distribution=6378081:3
datm-live-2026-07-13T10-43-45-282Z,A,4,2026-07-13T10:44:22.517Z,6378083,12,12,12,3,12,48,variant-batch blocks=1 max_same_block=3 distribution=6378083:3
datm-live-2026-07-13T10-43-45-282Z,A,5,2026-07-13T10:44:32.038Z,6378085,15,15,15,3,15,60,variant-batch blocks=1 max_same_block=3 distribution=6378085:3
datm-live-2026-07-13T10-43-45-282Z,A,6,2026-07-13T10:44:41.532Z,6378087,18,18,18,3,18,72,variant-batch blocks=1 max_same_block=3 distribution=6378087:3
datm-live-2026-07-13T10-43-45-282Z,A,7,2026-07-13T10:44:51.043Z,6378089,21,21,21,3,21,84,variant-batch blocks=1 max_same_block=3 distribution=6378089:3
datm-live-2026-07-13T10-43-45-282Z,A,8,2026-07-13T10:45:00.496Z,6378091,24,24,24,3,24,96,variant-batch blocks=1 max_same_block=3 distribution=6378091:3
datm-live-2026-07-13T10-43-45-282Z,A,9,2026-07-13T10:45:10.022Z,6378093,27,27,27,3,27,108,variant-batch blocks=1 max_same_block=3 distribution=6378093:3
datm-live-2026-07-13T10-43-45-282Z,A,10,2026-07-13T10:45:19.480Z,6378095,30,30,30,3,30,120,variant-batch blocks=1 max_same_block=3 distribution=6378095:3
datm-live-2026-07-13T10-43-45-282Z,A,11,2026-07-13T10:45:33.011Z,6378097,33,33,33,3,33,132,variant-batch blocks=1 max_same_block=3 distribution=6378097:3
datm-live-2026-07-13T10-43-45-282Z,A,12,2026-07-13T10:45:42.526Z,6378099,36,36,36,3,36,144,variant-batch blocks=1 max_same_block=3 distribution=6378099:3
datm-live-2026-07-13T10-43-45-282Z,A,13,2026-07-13T10:45:52.067Z,6378101,39,39,39,3,39,156,variant-batch blocks=1 max_same_block=3 distribution=6378101:3
datm-live-2026-07-13T10-43-45-282Z,A,14,2026-07-13T10:46:01.556Z,6378103,42,42,42,3,42,168,variant-batch blocks=1 max_same_block=3 distribution=6378103:3
datm-live-2026-07-13T10-43-45-282Z,A,15,2026-07-13T10:46:11.127Z,6378105,45,45,45,3,45,180,variant-batch blocks=1 max_same_block=3 distribution=6378105:3
datm-live-2026-07-13T10-43-45-282Z,A,16,2026-07-13T10:46:20.631Z,6378107,48,48,48,3,48,192,variant-batch blocks=1 max_same_block=3 distribution=6378107:3
datm-live-2026-07-13T10-43-45-282Z,A,17,2026-07-13T10:46:30.170Z,6378109,51,51,51,3,51,204,variant-batch blocks=1 max_same_block=3 distribution=6378109:3
datm-live-2026-07-13T10-43-45-282Z,A,18,2026-07-13T10:46:39.631Z,6378111,54,54,54,3,54,216,variant-batch blocks=1 max_same_block=3 distribution=6378111:3
datm-live-2026-07-13T10-43-45-282Z,A,19,2026-07-13T10:46:49.155Z,6378113,57,57,57,3,57,228,variant-batch blocks=1 max_same_block=3 distribution=6378113:3
datm-live-2026-07-13T10-43-45-282Z,A,20,2026-07-13T10:47:02.662Z,6378115,60,60,60,3,60,240,variant-batch blocks=1 max_same_block=3 distribution=6378115:3
datm-live-2026-07-13T10-43-45-282Z,A,21,2026-07-13T10:47:12.153Z,6378117,63,63,63,3,63,252,variant-batch blocks=1 max_same_block=3 distribution=6378117:3
datm-live-2026-07-13T10-43-45-282Z,A,22,2026-07-13T10:47:21.664Z,6378119,66,66,66,3,66,264,variant-batch blocks=1 max_same_block=3 distribution=6378119:3
datm-live-2026-07-13T10-43-45-282Z,A,23,2026-07-13T10:47:31.192Z,6378121,69,69,69,3,69,276,variant-batch blocks=1 max_same_block=3 distribution=6378121:3
datm-live-2026-07-13T10-43-45-282Z,A,24,2026-07-13T10:47:40.690Z,6378123,72,72,72,3,72,288,variant-batch blocks=1 max_same_block=3 distribution=6378123:3
datm-live-2026-07-13T10-43-45-282Z,A,25,2026-07-13T10:47:50.169Z,6378125,75,75,75,3,75,300,variant-batch blocks=1 max_same_block=3 distribution=6378125:3
datm-live-2026-07-13T10-43-45-282Z,A,26,2026-07-13T10:47:59.710Z,6378127,78,78,78,3,78,312,variant-batch blocks=1 max_same_block=3 distribution=6378127:3
datm-live-2026-07-13T10-43-45-282Z,A,27,2026-07-13T10:48:09.378Z,6378129,81,81,81,3,81,324,variant-batch blocks=1 max_same_block=3 distribution=6378129:3
datm-live-2026-07-13T10-43-45-282Z,A,28,2026-07-13T10:48:22.945Z,6378131,84,84,84,3,84,336,variant-batch blocks=1 max_same_block=3 distribution=6378131:3
datm-live-2026-07-13T10-43-45-282Z,A,29,2026-07-13T10:48:32.717Z,6378133,87,87,87,3,87,348,variant-batch blocks=1 max_same_block=3 distribution=6378133:3
datm-live-2026-07-13T10-43-45-282Z,A,30,2026-07-13T10:48:42.195Z,6378135,90,90,90,3,90,360,variant-batch blocks=1 max_same_block=3 distribution=6378135:3
