comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-03-normal-10,entity-03-normal,10,0x6db81c0a6b53fd404bc2fddfce01ea4a7ba27cce360e37358d68a06acb99a9ed,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-11,entity-01-normal,11,0x288905007ef2c1c578a0d43eb7428e066f9ba566db101074e3a13aa16fb1c5e2,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-11,entity-02-normal,11,0x747027186746f594eb44100e6afb67c163f8f7c5ec6ed57b5bb7e950840e33b7,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-11,entity-03-normal,11,0xb939ce1491e028f5ff631ee7f5b88b1a49fd634daea447760971a27d1c88229f,91,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-12,entity-01-normal,12,0xeb8cc030c55df678fbf8f6cec3ee07ad2224cc2eaf954a9722ea06127629c5ae,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-12,entity-02-normal,12,0xd8cf3a2dde94d302cd36496931d2ecadc4ddc2e79e81a918f1d5cfd44c06202b,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-12,entity-03-normal,12,0x2f4650e420f8ec7231905c162759a5aafc43f5df01cb9c6fbaa10d2d34157ea2,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-13,entity-01-normal,13,0x218df87c4cc4764ee612ecc7b365f90df772faa12f88ff0e68fe3b786eb8ce14,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-13,entity-02-normal,13,0x78a9b6e254523cf272b4d2138b8090da0b6cecb0cb41b95917d76603e1eef710,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-13,entity-03-normal,13,0xa8eb836b2cd4ac670b223626cbe063afa6e72e694cafc94c764294360e222e2c,93,Trusted,,,,,true,,,,A live result matches expected state
entity-01-normal-14,entity-01-normal,14,0x7c03f139d88e8c21aca0c8055059391be5bd7a99d8a2434e94022e173f3ce0b7,92,Trusted,,,,,true,,,,A live result matches expected state
