run_id,variant,checkpoint_no,observed_at,block_number,cumulative_updates,cumulative_successful_updates,cumulative_events,unique_entities_seen,estimated_storage_records,estimated_storage_slots,notes
datm-live-2026-07-13T11-34-35-351Z,C,1,2026-07-13T11:34:40.344Z,6378687,6,6,6,6,6,24,variant-batch blocks=1 max_same_block=6 distribution=6378687:6
datm-live-2026-07-13T11-34-35-351Z,C,2,2026-07-13T11:34:49.905Z,6378689,12,12,12,6,12,48,variant-batch blocks=1 max_same_block=6 distribution=6378689:6
datm-live-2026-07-13T11-34-35-351Z,C,3,2026-07-13T11:34:59.502Z,6378691,18,18,18,6,18,72,variant-batch blocks=1 max_same_block=6 distribution=6378691:6
datm-live-2026-07-13T11-34-35-351Z,C,4,2026-07-13T11:35:13.035Z,6378693,24,24,24,6,24,96,variant-batch blocks=1 max_same_block=6 distribution=6378693:6
datm-live-2026-07-13T11-34-35-351Z,C,5,2026-07-13T11:35:22.633Z,6378695,30,30,30,6,30,120,variant-batch blocks=1 max_same_block=6 distribution=6378695:6
datm-live-2026-07-13T11-34-35-351Z,C,6,2026-07-13T11:35:32.136Z,6378697,36,36,36,6,36,144,variant-batch blocks=1 max_same_block=6 distribution=6378697:6
datm-live-2026-07-13T11-34-35-351Z,C,7,2026-07-13T11:35:41.632Z,6378699,42,42,42,6,42,168,variant-batch blocks=1 max_same_block=6 distribution=6378699:6
datm-live-2026-07-13T11-34-35-351Z,C,8,2026-07-13T11:35:51.189Z,6378701,48,48,48,6,48,192,variant-batch blocks=1 max_same_block=6 distribution=6378701:6
datm-live-2026-07-13T11-34-35-351Z,C,9,2026-07-13T11:36:00.726Z,6378703,54,54,54,6,54,216,variant-batch blocks=1 max_same_block=6 distribution=6378703:6
datm-live-2026-07-13T11-34-35-351Z,C,10,2026-07-13T11:36:10.231Z,6378705,60,60,60,6,60,240,variant-batch blocks=1 max_same_block=6 distribution=6378705:6
datm-live-2026-07-13T11-34-35-351Z,C,11,2026-07-13T11:36:19.741Z,6378707,66,66,66,6,66,264,variant-batch blocks=1 max_same_block=6 distribution=6378707:6
datm-live-2026-07-13T11-34-35-351Z,C,12,2026-07-13T11:36:29.276Z,6378709,72,72,72,6,72,288,variant-batch blocks=1 max_same_block=6 distribution=6378709:6
datm-live-2026-07-13T11-34-35-351Z,C,13,2026-07-13T11:36:42.833Z,6378711,78,78,78,6,78,312,variant-batch blocks=1 max_same_block=6 distribution=6378711:6
datm-live-2026-07-13T11-34-35-351Z,C,14,2026-07-13T11:36:52.399Z,6378713,84,84,84,6,84,336,variant-batch blocks=1 max_same_block=6 distribution=6378713:6
datm-live-2026-07-13T11-34-35-351Z,C,15,2026-07-13T11:37:02.064Z,6378715,90,90,90,6,90,360,variant-batch blocks=1 max_same_block=6 distribution=6378715:6
datm-live-2026-07-13T11-34-35-351Z,C,16,2026-07-13T11:37:11.598Z,6378717,96,96,96,6,96,384,variant-batch blocks=1 max_same_block=6 distribution=6378717:6
datm-live-2026-07-13T11-34-35-351Z,C,17,2026-07-13T11:37:21.125Z,6378719,102,102,102,6,102,408,variant-batch blocks=1 max_same_block=6 distribution=6378719:6
datm-live-2026-07-13T11-34-35-351Z,C,18,2026-07-13T11:37:30.622Z,6378721,108,108,108,6,108,432,variant-batch blocks=1 max_same_block=6 distribution=6378721:6
datm-live-2026-07-13T11-34-35-351Z,C,19,2026-07-13T11:37:40.156Z,6378723,114,114,114,6,114,456,variant-batch blocks=1 max_same_block=6 distribution=6378723:6
datm-live-2026-07-13T11-34-35-351Z,C,20,2026-07-13T11:37:49.720Z,6378725,120,120,120,6,120,480,variant-batch blocks=1 max_same_block=6 distribution=6378725:6
datm-live-2026-07-13T11-34-35-351Z,C,21,2026-07-13T11:37:59.300Z,6378727,126,126,126,6,126,504,variant-batch blocks=1 max_same_block=6 distribution=6378727:6
datm-live-2026-07-13T11-34-35-351Z,C,22,2026-07-13T11:38:12.876Z,6378729,132,132,132,6,132,528,variant-batch blocks=1 max_same_block=6 distribution=6378729:6
datm-live-2026-07-13T11-34-35-351Z,C,23,2026-07-13T11:38:22.369Z,6378731,138,138,138,6,138,552,variant-batch blocks=1 max_same_block=6 distribution=6378731:6
datm-live-2026-07-13T11-34-35-351Z,C,24,2026-07-13T11:38:31.937Z,6378733,144,144,144,6,144,576,variant-batch blocks=1 max_same_block=6 distribution=6378733:6
datm-live-2026-07-13T11-34-35-351Z,C,25,2026-07-13T11:38:41.476Z,6378735,150,150,150,6,150,600,variant-batch blocks=1 max_same_block=6 distribution=6378735:6
datm-live-2026-07-13T11-34-35-351Z,C,26,2026-07-13T11:38:51.014Z,6378737,156,156,156,6,156,624,variant-batch blocks=1 max_same_block=6 distribution=6378737:6
datm-live-2026-07-13T11-34-35-351Z,C,27,2026-07-13T11:39:00.550Z,6378739,162,162,162,6,162,648,variant-batch blocks=1 max_same_block=6 distribution=6378739:6
datm-live-2026-07-13T11-34-35-351Z,C,28,2026-07-13T11:39:10.076Z,6378741,168,168,168,6,168,672,variant-batch blocks=1 max_same_block=6 distribution=6378741:6
datm-live-2026-07-13T11-34-35-351Z,C,29,2026-07-13T11:39:19.686Z,6378743,174,174,174,6,174,696,variant-batch blocks=1 max_same_block=6 distribution=6378743:6
datm-live-2026-07-13T11-34-35-351Z,C,30,2026-07-13T11:39:29.179Z,6378745,180,180,180,6,180,720,variant-batch blocks=1 max_same_block=6 distribution=6378745:6
