run_id,variant,entity_id,sequence_no,read_started_at,read_finished_at,read_latency_ms,block_tag,returned_ats,returned_trust_state,returned_timestamp,read_success,error_code,error_message
datm-live-2026-07-13T11-16-28-393Z,A,entity-01-normal,1,2026-07-13T11:16:29.113Z,2026-07-13T11:16:29.224Z,111,latest,89,Trusted,2026-07-13T11:16:28.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-02-normal,1,2026-07-13T11:16:29.113Z,2026-07-13T11:16:29.209Z,96,latest,90,Trusted,2026-07-13T11:16:28.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-03-normal,1,2026-07-13T11:16:29.136Z,2026-07-13T11:16:29.251Z,115,latest,90,Trusted,2026-07-13T11:16:28.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-04-normal,1,2026-07-13T11:16:29.115Z,2026-07-13T11:16:29.225Z,110,latest,89,Trusted,2026-07-13T11:16:28.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-05-suspicious,1,2026-07-13T11:16:29.113Z,2026-07-13T11:16:29.224Z,111,latest,63,Suspicious,2026-07-13T11:16:28.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-06-suspicious,1,2026-07-13T11:16:29.109Z,2026-07-13T11:16:29.210Z,101,latest,60,Suspicious,2026-07-13T11:16:28.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-01-normal,2,2026-07-13T11:16:42.633Z,2026-07-13T11:16:42.731Z,98,latest,93,Trusted,2026-07-13T11:16:38.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-02-normal,2,2026-07-13T11:16:42.627Z,2026-07-13T11:16:42.747Z,120,latest,93,Trusted,2026-07-13T11:16:38.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-03-normal,2,2026-07-13T11:16:42.631Z,2026-07-13T11:16:42.731Z,100,latest,91,Trusted,2026-07-13T11:16:38.000Z,true,,live read after variant-batch update
datm-live-2026-07-13T11-16-28-393Z,A,entity-04-normal,2,2026-07-13T11:16:42.629Z,2026-07-13T11:16:42.746Z,117,latest,93,Trusted,2026-07-13T11:16:38.000Z,true,,live read after variant-batch update
