comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-06-suspicious-5,entity-06-suspicious,5,0x9e625ac46525377061a9beee468f4060e93bde75aaf82640cadc4641dd400dc3,,,59,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-6,entity-01-normal,6,0x87327ab7125862b9795cb2009dc06f7c09ee46b983f35117cc8c6d1626dff38d,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-6,entity-02-normal,6,0x9785f50ec21b6fbf233f5c0e0bf4756b7c199e5e38b9e7787a93babbe84769a1,,,92,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-6,entity-03-normal,6,0xa8db147f0e2c1b4320a3ef148fd3f36cc7436af45b983b977bf4abfda83577cb,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-6,entity-04-normal,6,0xbd40f2099201ebee5cb2d1b4f79c81fb78f7fad613b2636c59dba510ba26c94d,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-6,entity-05-suspicious,6,0x0b7a8ea17eaff6f501895f8d9d19166dece0499601108f0505783a88d3b698eb,,,59,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-6,entity-06-suspicious,6,0x99dc82dac65aad325b2ac47ec2651780230a43fe954e906940e90716fb88766b,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-7,entity-01-normal,7,0x1f82efc2747363af83412e4e53f41f7f2e0c1549799c009807891564a1906716,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-7,entity-02-normal,7,0x87fe0995a5cc167656ca2c73a1da367bad0dc8f38dd22a1ec3c5f2b40c348235,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-7,entity-03-normal,7,0x5fd48076f44206daa5bb1eaceb13e76e80379aebcc5753a54ba2daaeadb4f8f5,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-7,entity-04-normal,7,0xc8b26defeaafbdb3670d9ba4a5e90b60f4c8181bb91d7d62360450c69381b1aa,,,92,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-7,entity-05-suspicious,7,0x19dba7db353cffb3056cdb0a25540e5b96817041f8b85520a900481bea0f61e5,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-7,entity-06-suspicious,7,0xf94ec08e3db3f347aca6c870fadf6384537cea93627fdef3cf49e5db9c8152bc,,,62,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-8,entity-01-normal,8,0xb5db0163578b7bd479402da38aa8da92dedabf9adf71e55e00d37e416bdf3aa3,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-8,entity-02-normal,8,0xe7df3e57f328ba25e5f3063120caed6f375c7960942e7c84d863499bc3b9ce77,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-8,entity-03-normal,8,0xd75ae7a0f9b9a00a31174d4a7b70073ac226f45627ac54288942f5ad0a6b0f5a,,,91,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-8,entity-04-normal,8,0x2e7232a3e70a1c201637b4e4f4427b66b5d6e3a95c6ef392090067f45f76afc0,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-8,entity-05-suspicious,8,0x73d414c93122f33c052d7878ba6984002aa912124b094d1b803e4c0568acbe6a,,,62,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-8,entity-06-suspicious,8,0x2de8f901db3785b43029c914735af4261d432176d0b4a8cc6b6d74b3f4386a61,,,63,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-9,entity-01-normal,9,0xda689ce910da361a170b18c3659effe74e4d766eceef6e843b084b614c4e4a05,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-9,entity-02-normal,9,0x48d874571605af952df7c18a5ee6b12afdb107539db2228d11ae06d74c379eae,,,92,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-9,entity-03-normal,9,0x3133a23d404bd4b075adb3b0fd9d93b97e87905acd3d4aebce4d9403638ccab1,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-9,entity-04-normal,9,0x67f7a9031da875573bc62b6a484393dc6c94a38f19b85f5915b0f7a7fa5991a6,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-9,entity-05-suspicious,9,0x411ec780917aaeea1ff300d2a09764427b45bafa0a092a1912a9e274e71db05e,,,63,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-9,entity-06-suspicious,9,0xc8d76d92436504015c875811b68ee312cca253b26bee11af74273b1cb9c4e373,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-10,entity-01-normal,10,0x854186181bb04513ae2268ddbf88db527fa75267934b16f8f5c9311dde0dc5d2,,,91,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-10,entity-02-normal,10,0x1fa557ac05204c50b9420a7a5c84941c5179c3a6cfa7b41c5dd280ed3e52c6bf,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-10,entity-03-normal,10,0x6db81c0a6b53fd404bc2fddfce01ea4a7ba27cce360e37358d68a06acb99a9ed,,,93,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-10,entity-04-normal,10,0x2baa3507acc02cf913191828116945399383a7b3caa51df4f894b49535c3a304,,,91,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-10,entity-05-suspicious,10,0xc70621dfd3aa1f1e45f5455e6931eb587119b3dea0eeed23af68f143596ccdee,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-10,entity-06-suspicious,10,0x82152fd64a43bdba7740e2bb498c43a7501fac6059528394961bddabbdfef776,,,60,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-11,entity-01-normal,11,0x288905007ef2c1c578a0d43eb7428e066f9ba566db101074e3a13aa16fb1c5e2,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-11,entity-02-normal,11,0x747027186746f594eb44100e6afb67c163f8f7c5ec6ed57b5bb7e950840e33b7,,,92,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-11,entity-03-normal,11,0xb939ce1491e028f5ff631ee7f5b88b1a49fd634daea447760971a27d1c88229f,,,91,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-11,entity-04-normal,11,0x4983ec7fbeb8f58caef3356b6d4637b5891e286d42f2390bfe403f6b960cdc66,,,92,Trusted,,,true,,,,B live result matches expected state
