comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-10-malicious-3,entity-10-malicious,3,0x9f894c355bb568639598749a26dae095aaec14bee8805a79050ab08ef17cb9fc,30,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-4,entity-01-normal,4,0xb55f1277b567e0dca95b195de924f92199ecb2a18968362a532ad7e1dc4edbc5,91,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-4,entity-02-normal,4,0x7339121eb8e754fc8befba69eca0394e59089686b156f9c5ec0edb49a4bbeb23,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-4,entity-03-normal,4,0xcc586edfedfe617ebc8026106d795cc75c0a01ae6101c71a6cc33845a845f0d2,93,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-4,entity-04-normal,4,0x16ae6d33724e75a960096cf6090deba9cfc194cb4ba866a3dc4a16334b24fe56,91,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-4,entity-05-suspicious,4,0x7c36ca8ed50b5a0524da660a9ca118eea765d70242f61851aff2a576bd19610c,64,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-4,entity-06-suspicious,4,0xfde8bae8237ba8caf6e062ccd49dd0f66f61319934c865955e77399b246bada5,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-4,entity-07-suspicious,4,0xc2ddebf954b734b41b131e1d9ccf0f2ed33a3cf5cb17cc7ab84a1daa1e6dc520,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-4,entity-08-malicious,4,0x9f1a4d4a6d550ad71e4d40905574926d4ad80aa8c0633fa7a6aab1cf853ff83d,30,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-4,entity-09-malicious,4,0x6e9cc5e18462a961209330dd5e005259c3bd3e034bbb0758bf9fcf6b548fdeaa,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-4,entity-10-malicious,4,0xba73e7dc30ee0ea225878be3745700012e66f052abdf5461adbac0a286858b3e,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-5,entity-01-normal,5,0x61d5e8741de2e0aa0beeb471139eca6c0e363210097c5b248efbb11e74aa5510,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-5,entity-02-normal,5,0x47907c736820640cf578f1c8d9ad74d0f93f0d8aaf4456d33e76adfcc4ac60c9,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-5,entity-03-normal,5,0x8de5b85c3dcd5afba375b2e93d8b21a9c317c4dfad3000afdd3592205dff2e39,92,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-5,entity-04-normal,5,0x8b55a77bf8a6d9878ff13c5418d904750fd033db41b465439f9a1a568eb9682d,93,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-5,entity-05-suspicious,5,0x40b0726309873e4db62f2c7d75783c3d1836f6fe0720b2f8418dcac618e5a3a3,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-5,entity-06-suspicious,5,0x9e625ac46525377061a9beee468f4060e93bde75aaf82640cadc4641dd400dc3,59,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-5,entity-07-suspicious,5,0x48b6572094347051ff6ce35770a993f102139b644fe55807feb95fd3f8af2ae1,64,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-5,entity-08-malicious,5,0x2c7adf98e3bf29f80da6f7b245c6bc61eccc4dfeb909022e517b8531e19d8b5e,30,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-5,entity-09-malicious,5,0x79c650a7aad26fb61d5552e95d3a83202bd3d078a7f83fad4ef4eff2ec9eaf86,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-5,entity-10-malicious,5,0x0177a2647e21438aa4b75495e8068fc66f9accf26831c9e5a1a3d1c2fef8cf57,31,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-6,entity-01-normal,6,0x87327ab7125862b9795cb2009dc06f7c09ee46b983f35117cc8c6d1626dff38d,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-6,entity-02-normal,6,0x9785f50ec21b6fbf233f5c0e0bf4756b7c199e5e38b9e7787a93babbe84769a1,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-6,entity-03-normal,6,0xa8db147f0e2c1b4320a3ef148fd3f36cc7436af45b983b977bf4abfda83577cb,93,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-6,entity-04-normal,6,0xbd40f2099201ebee5cb2d1b4f79c81fb78f7fad613b2636c59dba510ba26c94d,93,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-6,entity-05-suspicious,6,0x0b7a8ea17eaff6f501895f8d9d19166dece0499601108f0505783a88d3b698eb,59,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-6,entity-06-suspicious,6,0x99dc82dac65aad325b2ac47ec2651780230a43fe954e906940e90716fb88766b,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-6,entity-07-suspicious,6,0x01ac2bc81735868bf8d9122107b21d44d0c7f04fc71b651fdd9360ecf2b7ce21,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-6,entity-08-malicious,6,0xfa859462e8d93f015e876f2d1aeb50263d0b4c59440e4dcb8bf1f023a1d909dc,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-6,entity-09-malicious,6,0x0b4db83e5bb6441032fec89af1528a263513cb70dd3c5019cc10602bd004ba42,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-6,entity-10-malicious,6,0x49e6048f387b9732c1fd8a926507cea33db0b71be4cd2cdba5c5c30ed1f6ccec,30,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-7,entity-01-normal,7,0x1f82efc2747363af83412e4e53f41f7f2e0c1549799c009807891564a1906716,92,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-7,entity-02-normal,7,0x87fe0995a5cc167656ca2c73a1da367bad0dc8f38dd22a1ec3c5f2b40c348235,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-7,entity-03-normal,7,0x5fd48076f44206daa5bb1eaceb13e76e80379aebcc5753a54ba2daaeadb4f8f5,93,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-7,entity-04-normal,7,0xc8b26defeaafbdb3670d9ba4a5e90b60f4c8181bb91d7d62360450c69381b1aa,92,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-7,entity-05-suspicious,7,0x19dba7db353cffb3056cdb0a25540e5b96817041f8b85520a900481bea0f61e5,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-7,entity-06-suspicious,7,0xf94ec08e3db3f347aca6c870fadf6384537cea93627fdef3cf49e5db9c8152bc,62,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-7,entity-07-suspicious,7,0xcbc9ade42e00c6f3e37a126eb30a7996c20f6ab5a41f4bf6043f18dd280c2e3f,59,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-7,entity-08-malicious,7,0x33e1e9f7b659ac9d11231842ee3a7a3edc6c1ae08133694e671b2347d2312561,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-7,entity-09-malicious,7,0x65ec8c3df718e8a823cef8ae0adda5d094961f3543558f22b0a6538dffdbba2f,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-7,entity-10-malicious,7,0x0040f33787fd28f7d13563def82ff8f4750d70638fa768989a6d239f7bd7e46e,29,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-8,entity-01-normal,8,0xb5db0163578b7bd479402da38aa8da92dedabf9adf71e55e00d37e416bdf3aa3,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-8,entity-02-normal,8,0xe7df3e57f328ba25e5f3063120caed6f375c7960942e7c84d863499bc3b9ce77,93,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-8,entity-03-normal,8,0xd75ae7a0f9b9a00a31174d4a7b70073ac226f45627ac54288942f5ad0a6b0f5a,91,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-8,entity-04-normal,8,0x2e7232a3e70a1c201637b4e4f4427b66b5d6e3a95c6ef392090067f45f76afc0,93,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-8,entity-05-suspicious,8,0x73d414c93122f33c052d7878ba6984002aa912124b094d1b803e4c0568acbe6a,62,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-8,entity-06-suspicious,8,0x2de8f901db3785b43029c914735af4261d432176d0b4a8cc6b6d74b3f4386a61,63,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-8,entity-07-suspicious,8,0x10666d74194d6698707c3701f3011e99d8973906d87b69f4eec98ce1b3b845c4,60,Suspicious,,,,,true,,,,A live result matches expected state
entity-08-malicious-8,entity-08-malicious,8,0x22dc7ec168be143c0be0ea957bb767ee6e21319aac3d68e95410e0c57537b2c6,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-09-malicious-8,entity-09-malicious,8,0xb3a06e6caa89ef192bf6a2b4636205ccef219f71774eade59a0104a888ddbdcb,28,Untrusted,,,,,true,,,,A live result matches expected state
entity-10-malicious-8,entity-10-malicious,8,0x73876e992d1b6b1276960b8c11e60e5591ba6a4ea68b56138fb3d4ec68f5459c,30,Untrusted,,,,,true,,,,A live result matches expected state
entity-01-normal-9,entity-01-normal,9,0xda689ce910da361a170b18c3659effe74e4d766eceef6e843b084b614c4e4a05,93,Trusted,,,,,true,,,,A live result matches expected state
entity-02-normal-9,entity-02-normal,9,0x48d874571605af952df7c18a5ee6b12afdb107539db2228d11ae06d74c379eae,92,Trusted,,,,,true,,,,A live result matches expected state
entity-03-normal-9,entity-03-normal,9,0x3133a23d404bd4b075adb3b0fd9d93b97e87905acd3d4aebce4d9403638ccab1,93,Trusted,,,,,true,,,,A live result matches expected state
entity-04-normal-9,entity-04-normal,9,0x67f7a9031da875573bc62b6a484393dc6c94a38f19b85f5915b0f7a7fa5991a6,93,Trusted,,,,,true,,,,A live result matches expected state
entity-05-suspicious-9,entity-05-suspicious,9,0x411ec780917aaeea1ff300d2a09764427b45bafa0a092a1912a9e274e71db05e,63,Suspicious,,,,,true,,,,A live result matches expected state
entity-06-suspicious-9,entity-06-suspicious,9,0xc8d76d92436504015c875811b68ee312cca253b26bee11af74273b1cb9c4e373,61,Suspicious,,,,,true,,,,A live result matches expected state
entity-07-suspicious-9,entity-07-suspicious,9,0x12a15e7358cee9350fc8209e562416d89f607a3b9dce6607f2fc0b201e72d74e,62,Suspicious,,,,,true,,,,A live result matches expected state
